iter	Passed	Remaining
586	4968	3495
587	4975	3486
588	4982	3476
589	4990	3468
590	4998	3459
591	5006	3450
592	5014	3441
593	5023	3433
594	5031	3424
595	5038	3415
596	5046	3406
597	5055	3398
598	5062	3389
599	5070	3380
600	5078	3371
601	5085	3362
602	5092	3352
603	5100	3344
604	5108	3335
605	5117	3327
606	5125	3318
607	5133	3309
608	5141	3301
609	5150	3292
610	5159	3284
611	5167	3276
612	5176	3268
613	5185	3259
614	5194	3251
615	5203	3243
616	5211	3235
617	5221	3227
618	5230	3219
619	5240	3211
620	5248	3203
621	5257	3195
622	5266	3186
623	5274	3178
624	5283	3170
625	5291	3161
626	5300	3153
627	5309	3145
628	5317	3136
629	5326	3128
630	5334	3119
631	5343	3111
632	5351	3102
633	5358	3093
634	5366	3084
635	5374	3075
636	5381	3066
637	5389	3058
638	5397	3049
639	5405	3040
640	5413	3031
641	5421	3022
642	5428	3014
643	5437	3005
644	5446	2997
645	5455	2989
646	5462	2980
647	5470	2971
648	5479	2963
649	5487	2954
650	5495	2946
651	5503	2937
652	5511	2928
653	5518	2919
654	5526	2910
655	5534	2902
656	5541	2893
657	5549	2884
658	5557	2875
659	5564	2866
660	5572	2857
661	5579	2848
662	5587	2840
663	5595	2831
664	5603	2822
665	5610	2813
666	5618	2805
667	5626	2796
668	5633	2787
669	5641	2778
670	5649	2770
671	5658	2761
672	5666	2753
673	5674	2744
674	5682	2735
675	5689	2727
676	5697	2718
677	5705	2709
678	5713	2701
679	5721	2692
680	5729	2683
681	5736	2674
682	5743	2665
683	5752	2657
684	5759	2648
685	5767	2640
686	5775	2631
687	5783	2622
688	5790	2613
689	5797	2604
690	5805	2596
691	5812	2587
692	5820	2578
693	5827	2569
694	5835	2560
695	5843	2552
696	5851	2543
697	5858	2534
698	5866	2526
699	5875	2517
700	5884	2509
701	5892	2501
702	5901	2493
703	5909	2484
704	5918	2476
705	5926	2467
706	5935	2459
707	5944	2451
708	5953	2443
709	5961	2435
710	5970	2426
711	5978	2418
712	5987	2410
713	5995	2401
714	6003	2393
715	6011	2384
716	6019	2375
717	6027	2367
718	6035	2358
719	6043	2350
720	6051	2341
721	6058	2332
722	6066	2324
723	6075	2315
724	6083	2307
725	6091	2298
726	6099	2290
727	6107	2281
728	6115	2273
729	6124	2265
730	6131	2256
731	6139	2247
732	6147	2239
733	6157	2231
734	6164	2222
735	6172	2213
736	6179	2205
737	6186	2196
738	6193	2187
739	6201	2178
740	6208	2170
741	6216	2161
742	6223	2152
743	6232	2144
744	6241	2136
745	6250	2128
746	6259	2119
747	6267	2111
748	6276	2103
749	6284	2094
750	6292	2086
751	6300	2077
752	6307	2069
753	6315	2060
754	6323	2051
755	6330	2043
756	6337	2034
757	6344	2025
758	6352	2016
759	6360	2008
760	6368	2000
761	6376	1991
762	6385	1983
763	6393	1975
764	6402	1966
765	6410	1958
766	6418	1949
767	6426	1941
768	6434	1932
769	6442	1924
770	6449	1915
771	6457	1907
772	6464	1898
773	6472	1889
774	6479	1881
775	6487	1872
776	6494	1863
777	6501	1855
778	6509	1846
779	6517	1838
780	6525	1829
781	6533	1821
782	6541	1812
783	6548	1804
784	6555	1795
785	6562	1786
786	6569	1778
787	6576	1769
788	6583	1760
789	6591	1752
790	6598	1743
791	6605	1734
792	6612	1726
793	6620	1717
794	6627	1709
795	6635	1700
796	6642	1691
797	6649	1683
798	6657	1674
799	6664	1666
800	6671	1657
801	6678	1648
